IndiceGene,ProbeSetID,Alpha,MeanPositive,MeanNegative,DeltaMean_Log2,T_Welch,P_Welch,FDR_Welch,AUC_PositiveHigher,AUC_Separation,EvidenceScore
5568,1421262_at,0.0458831227794536,11.41162,3.897822,7.513798,16.0762101545498,3.64354957190417e-05,0.0262828375416597,1,1,3.70449418135136
34483,1450188_s_at,0.0376621021659567,9.759166,3.45,6.309166,12.8095523361677,0.000105005892485548,0.0378869660559255,1,1,3.2941981251495
34304,1450009_at,0.0335790833474668,11.83528,6.713602,5.121678,14.4285571468681,3.88419118306333e-06,0.0147980925939505,1,1,3.22918096038431
9757,1425451_s_at,0.0272790836582753,12.06484,7.589998,4.474842,19.4043134730227,1.48748638895781e-07,0.00571214909787018,1,1,3.19008379368771
4095,1419764_at,0.0282024154133784,12.43628,7.838078,4.598202,18.5817258383682,8.36731436829382e-07,0.0122400071869696,1,1,3.07907474225142
4012,1419681_a_at,0.0283078989649253,10.228436,5.251736,4.9767,9.59798691713112,0.000614941945684045,0.0668074434770353,1,1,2.80317676321044
3053,1418722_at,0.0221649251791075,13.88454,10.492794,3.391746,15.5951333955889,1.52005095284354e-06,0.0122400071869696,1,1,2.78692510611637
20836,1436530_at,0.0260326469113734,12.53918,7.87528,4.6639,8.42550925155917,0.000220648560440026,0.0490736113079066,1,1,2.77168495545999
35121,1450826_a_at,0.0262439099433348,12.29682,7.982836,4.313984,6.57813765042294,0.000174786753212,0.0453049273368645,1,1,2.74518977632406
32862,1448562_at,0.0262486456529257,10.40069,5.833312,4.567378,8.69380348143004,0.000731252197036556,0.0706214247078067,1,1,2.69307141191683
18352,1434046_at,0.0205885513708301,9.938952,6.455646,3.483306,11.6581897752599,0.000169020691797536,0.0450256227447751,1,1,2.51257754267665
25171,1440865_at,0.0166999271473563,13.38472,10.63776,2.74696,10.6798972924469,6.2155101185331e-06,0.0186883814570641,1,1,2.50007170457812
34723,1450428_at,-0.016736741112506,3.920238,6.610034,-2.689796,-13.1865503487242,1.14285552247834e-05,0.0214375109580091,0,1,2.46669555790991
17734,1433428_x_at,0.0170043807600926,9.951146,7.239932,2.711214,9.54655564783214,2.11632121057998e-05,0.024295285998186,1,1,2.45115117134023
41961,1457666_s_at,0.0192533914465023,10.387824,7.162856,3.224968,6.64850353950954,0.00019202886342453,0.0473728230452051,1,1,2.43925804776749
2207,1417876_at,0.0142758313325636,8.595436,5.866064,2.729372,11.0257253716178,7.8314651659419e-06,0.0196226061360636,1,1,2.43545477897001
11562,1427256_at,0.0200062346185854,9.234834,5.664314,3.57052,9.40767814595789,0.0006414616745591,0.0680372433714076,1,1,2.43156805060563
1831,1417500_a_at,0.0142698238666578,9.525122,7.346472,2.17865,11.6388287708823,2.71590001530984e-06,0.0147980925939505,1,1,2.41666174016892
21583,1437277_x_at,0.0162066378007595,10.131334,7.560796,2.570538,9.31707783948883,2.27483457408666e-05,0.024295285998186,1,1,2.41504238769983
13580,1429274_at,-0.00944207211292442,4.96537,6.459208,-1.493838,-15.9181983902033,2.53304764766643e-07,0.00571214909787018,0,1,2.40459732647014
2535,1418204_s_at,0.0173749126462722,8.338596,5.585348,2.753248,7.64603780351511,7.33694617654175e-05,0.0334246070210313,1,1,2.40305852394374
40195,1455900_x_at,0.0154598168507459,9.451712,6.992736,2.458976,9.23938863635477,3.25112707162215e-05,0.0262828375416597,1,1,2.36869413614993
