IndiceGene,ProbeSetID,Alpha,MeanPositive,MeanNegative,DeltaMean_Log2,T_Welch,P_Welch,FDR_Welch,AUC_PositiveHigher,AUC_Separation,EvidenceScore
3261,1418930_at,-0.0421888710435149,6.246998,8.47693,-2.229932,-2.28314551057851,0.0643081078224709,0.477838727911089,0.12,0.88,3.49085642717617
11687,1427381_at,-0.0348263618412174,7.858224,10.01102,-2.152796,-2.6336283635636,0.0318048753300329,0.452339798067067,0.16,0.84,3.30279885712901
36644,1452349_x_at,-0.0386156764724631,4.483318,5.89508,-1.411762,-3.04951007962917,0.0279287297351142,0.448834175024012,0.04,0.96,3.29310065146395
21532,1437226_x_at,-0.023757910577365,9.328122,11.02641,-1.698288,-2.93062059998993,0.0227206228826593,0.448834175024012,0.04,0.96,3.13561953554512
20212,1435906_x_at,-0.0377355772893475,9.852474,11.84283,-1.990356,-1.96317640758367,0.0857493781675595,0.49190825549925,0.2,0.8,3.101593969871
10120,1425814_a_at,0.0287014394926829,8.965184,7.578254,1.38693,2.85920131594187,0.0295678965509806,0.452339798067067,0.96,0.96,3.08146030225651
1631,1417300_at,-0.0350779632639165,8.213348,9.782068,-1.56872,-2.24384466065492,0.0671953081935539,0.478702948992368,0.12,0.88,3.05522338605366
13,1415682_at,0.0236522215229332,10.66454,9.357966,1.306574,4.68299794711078,0.00603550430939393,0.447667132791116,1,1,3.04116236433657
12885,1428579_at,-0.0237770919001936,6.485424,7.91068,-1.425256,-3.31981694257875,0.0156295504607661,0.447667132791116,0.04,0.96,3.01678832616917
44574,1460282_at,-0.0188796906086155,7.038182,8.661288,-1.623106,-3.42199398804316,0.018338142804787,0.447667132791116,0.04,0.96,3.01125145232018
2571,1418240_at,-0.0339460184036889,9.616222,11.553196,-1.936974,-1.97935496974817,0.083759854791097,0.48984092465421,0.2,0.8,3.00995684953049
4045,1419714_at,-0.0222413720729072,8.3311,9.509614,-1.178514,-3.57358378814882,0.00728468634277685,0.447667132791116,0,1,2.95657917245374
5584,1421278_s_at,0.0204451801673633,12.08226,10.92172,1.16054,4.16737911163051,0.0120379031300839,0.447667132791116,1,1,2.91394684717138
22403,1438097_at,-0.0186881757718601,5.559312,6.727374,-1.168062,-4.65090644376784,0.00380976516695408,0.447667132791116,0,1,2.88350237190601
253,1415922_s_at,-0.0199944803085273,8.977908,10.468042,-1.490134,-2.69367948801875,0.0368254521737684,0.454235712996552,0.08,0.92,2.87495099929254
17734,1433428_x_at,-0.0258003349521921,8.697738,9.951146,-1.253408,-2.66095085829489,0.0435586944421814,0.458182215622557,0.08,0.92,2.86977442295391
5716,1421410_a_at,-0.0216746631929493,6.19531,7.184706,-0.989396,-3.56772083665751,0.00732646546388901,0.447667132791116,0,1,2.86086220394232
40195,1455900_x_at,-0.0251448064670352,8.158148,9.451712,-1.293564,-2.62428421816521,0.0485298056690633,0.463831095572585,0.08,0.92,2.85991673370688
18968,1434662_at,0.0189371312689354,11.0575,9.812706,1.244794,3.45221981702963,0.0153447684885289,0.447667132791116,0.96,0.96,2.84270431023487
39615,1455320_at,-0.0221871646317487,7.045456,8.133826,-1.08837,-3.58416642891077,0.00874840869242479,0.447667132791116,0.04,0.96,2.83511105389257
